competitor,run_task_contract,original_task_intent,acceptance_criteria,changed_file_attribution,ai_code_attribution,preexisting_dirty_handling,start_end_repo_state,committed_changes,uncommitted_changes,renamed_deleted_untracked,scope_constraints,owned_paths,avoid_paths,scope_drift,tests_executed,validation_evidence,test_result_provenance,claims_vs_diff,acceptance_verification,unsupported_claims,session_log,command_tool_log,pr_review,policy_rules,audit_trail,vendor_neutral_export,local_first,no_cloud_mode,multi_agent_support,github_check_integration,mcp_integration,enterprise_audit,pricing,evidence_ids
AgentsWatch proposed MVP,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,PARTIAL,YES,PARTIAL,PARTIAL,NO,YES,YES,YES,YES,YES,YES,LATER,LATER,LATER,N/A,R01
Qodo Agentic Toolbox,PARTIAL,YES,PARTIAL,PARTIAL,NO,UNKNOWN,UNKNOWN,YES,YES,YES,PARTIAL,UNKNOWN,UNKNOWN,PARTIAL,PARTIAL,PARTIAL,UNKNOWN,PARTIAL,YES,PARTIAL,PARTIAL,PARTIAL,YES,YES,PARTIAL,UNKNOWN,PARTIAL,PARTIAL,YES,UNKNOWN,YES,PARTIAL,YES,C01;C02
GitHub Copilot coding agent,PARTIAL,YES,PARTIAL,PARTIAL,PARTIAL,UNKNOWN,PARTIAL,YES,PARTIAL,PARTIAL,PARTIAL,UNKNOWN,UNKNOWN,PARTIAL,YES,YES,PARTIAL,NO,PARTIAL,NO,YES,YES,YES,YES,YES,NO,PARTIAL,PARTIAL,YES,YES,PARTIAL,YES,YES,C04;C05;C06;P01
Cursor,PARTIAL,YES,PARTIAL,PARTIAL,YES,UNKNOWN,PARTIAL,YES,YES,PARTIAL,PARTIAL,UNKNOWN,UNKNOWN,PARTIAL,YES,PARTIAL,UNKNOWN,NO,PARTIAL,NO,YES,YES,YES,PARTIAL,PARTIAL,NO,YES,PARTIAL,YES,PARTIAL,PARTIAL,YES,YES,C03;P02
Claude Code,PARTIAL,YES,PARTIAL,PARTIAL,NO,UNKNOWN,PARTIAL,YES,YES,PARTIAL,YES,UNKNOWN,YES,PARTIAL,YES,YES,PARTIAL,NO,PARTIAL,NO,YES,YES,PARTIAL,YES,YES,NO,YES,YES,YES,PARTIAL,YES,PARTIAL,UNKNOWN,C07;C08;C09
OpenAI Codex,PARTIAL,YES,PARTIAL,PARTIAL,NO,UNKNOWN,PARTIAL,YES,YES,PARTIAL,PARTIAL,UNKNOWN,UNKNOWN,PARTIAL,YES,YES,PARTIAL,NO,PARTIAL,NO,YES,YES,PARTIAL,YES,PARTIAL,PARTIAL,PARTIAL,YES,YES,PARTIAL,YES,PARTIAL,UNKNOWN,C10;C11
CodeRabbit,PARTIAL,YES,PARTIAL,PARTIAL,NO,UNKNOWN,NO,YES,YES,PARTIAL,PARTIAL,UNKNOWN,UNKNOWN,PARTIAL,PARTIAL,YES,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,YES,YES,YES,NO,PARTIAL,PARTIAL,YES,YES,YES,YES,YES,C12;C13;C14
Graphite,PARTIAL,YES,PARTIAL,PARTIAL,NO,UNKNOWN,NO,YES,PARTIAL,PARTIAL,PARTIAL,UNKNOWN,UNKNOWN,PARTIAL,PARTIAL,PARTIAL,UNKNOWN,NO,PARTIAL,NO,PARTIAL,PARTIAL,YES,PARTIAL,PARTIAL,NO,PARTIAL,PARTIAL,YES,YES,YES,PARTIAL,YES,C15;C16;C17
Devin / Devin Review,PARTIAL,YES,PARTIAL,PARTIAL,UNKNOWN,UNKNOWN,PARTIAL,YES,PARTIAL,PARTIAL,PARTIAL,UNKNOWN,UNKNOWN,PARTIAL,YES,PARTIAL,UNKNOWN,PARTIAL,PARTIAL,PARTIAL,YES,YES,YES,PARTIAL,YES,NO,PARTIAL,PARTIAL,YES,YES,PARTIAL,YES,UNKNOWN,C18;C19
Sourcegraph Agentic Batch Changes,YES,YES,PARTIAL,PARTIAL,NO,UNKNOWN,PARTIAL,YES,PARTIAL,PARTIAL,YES,PARTIAL,PARTIAL,PARTIAL,YES,YES,PARTIAL,PARTIAL,PARTIAL,PARTIAL,YES,YES,PARTIAL,YES,YES,PARTIAL,PARTIAL,PARTIAL,YES,YES,YES,YES,CUSTOM,C21;C22;C23
OpenHands,PARTIAL,YES,PARTIAL,PARTIAL,NO,UNKNOWN,PARTIAL,YES,YES,PARTIAL,PARTIAL,UNKNOWN,UNKNOWN,PARTIAL,YES,PARTIAL,UNKNOWN,NO,PARTIAL,NO,YES,YES,NO,PARTIAL,PARTIAL,PARTIAL,YES,YES,YES,PARTIAL,YES,UNKNOWN,UNKNOWN,C20
Snyk ADS,NO,NO,NO,NO,NO,NO,NO,YES,YES,PARTIAL,YES,PARTIAL,PARTIAL,PARTIAL,PARTIAL,YES,YES,NO,NO,NO,PARTIAL,PARTIAL,YES,YES,YES,PARTIAL,PARTIAL,PARTIAL,YES,PARTIAL,PARTIAL,YES,YES,C24;P04
